subID,age,total_session_time,total_speech_time,#babyname,#token,#uniqueWord,#utterance,#noun,#verb,#adjective,type_token_ratio,mean_utterance_dur,mean_utterance_token_length
6502,18.2,184.893677,122.243399,5,518,125,56,92,88,9,0.241312741,2.144621035,9.298245614
6503,18.3,126.94362,70.634702,1,219,73,36,50,43,12,0.333333333,1.962075056,6.083333333
6504,18,231.766003,140.265391,17,448,97,76,97,82,11,0.216517857,1.821628455,5.857142857
6505,20.4,170.607873,83.403542,0,302,96,54,57,53,11,0.317880795,1.544510037,5.592592593
6508,18.3,225.873409,108.350374,3,346,85,69,73,50,13,0.24566474,1.547862486,5.042857143
6509,19.3,149.100255,93.155602,1,340,110,40,70,55,11,0.323529412,2.272087854,8.341463415
6510,24.6,240.161147,143.600609,0,533,110,79,99,90,16,0.206378987,1.817729228,6.746835443
6511,19,140.153363,64.939736,0,225,75,52,44,35,8,0.333333333,1.248841077,4.326923077
6514,18.3,195.14996,141.588916,0,471,122,58,64,95,15,0.259023355,2.399812136,8.118644068
6515,19.1,471.50108,145.306849,15,534,120,85,102,78,18,0.224719101,1.709492341,6.282352941
6516,18.8,111.943625,78.641066,0,309,116,30,46,58,6,0.375404531,2.536808581,10.03225806
6601,18.3,194.14779,108.811416,1,309,111,55,63,55,6,0.359223301,1.978389382,5.618181818
6602,18.2,69.792606,45.462579,0,153,66,20,26,31,4,0.431372549,2.164884714,7.666666667
6603,18.3,161.968387,93.512892,0,290,108,40,49,57,7,0.372413793,2.280802244,7.097560976
6604,18,209.036904,108.242964,0,400,114,67,80,71,13,0.285,1.615566627,5.955223881
6605,20.4,205.023358,110.100611,0,372,126,49,78,56,8,0.338709677,2.246951245,7.571428571
6606,18.9,185.11002,82.74271,0,262,93,61,50,40,6,0.354961832,1.356437869,4.295081967
6607,18.2,253.2599,152.118193,0,545,120,83,77,129,11,0.220183486,1.810930869,6.523809524
6608,18.3,199.949477,119.321854,1,375,102,52,78,54,7,0.272,2.294651038,7.211538462
6609,19.3,236.43327,134.148627,0,528,152,53,103,89,4,0.287878788,2.53110617,9.943396226
6610,24.6,204.722228,141.010652,1,447,120,54,74,82,10,0.268456376,2.61130837,8.277777778
6611,19,112.433181,58.118918,0,199,82,44,29,32,11,0.412060302,1.3208845,4.522727273
6612,18,417.647049,207.117012,6,781,162,133,142,137,17,0.207426376,1.557270767,5.872180451
6613,18.8,78.192171,61.182339,1,237,88,24,40,45,8,0.371308017,2.44729356,9.52
6701,18.3,175.978971,97.669078,1,291,121,55,49,49,27,0.41580756,1.775801418,5.290909091
6702,18.2,164.711806,106.340515,0,394,112,38,67,59,11,0.284263959,2.798434605,10.36842105
6705,20.4,196.862847,97.390985,0,316,102,45,63,59,13,0.32278481,2.164244111,7.022222222
6708,18.3,141.99795,55.870992,1,141,54,36,28,17,8,0.382978723,1.510026811,4.27027027
6711,19,109.639887,54.912346,0,212,87,45,30,44,13,0.410377358,1.220274356,4.711111111
6715,19.1,81.750369,48.508345,3,178,65,27,35,30,17,0.365168539,1.79660537,6.592592593
6716,18.8,266.937536,134.085262,0,406,131,63,74,73,19,0.322660099,2.128337492,6.444444444
6801,18.3,294.065424,169.244887,1,556,162,91,102,101,25,0.291366906,1.859833923,6.10989011
6804,18,243.84622,169.72993,4,583,147,77,99,113,16,0.252144082,2.204284805,7.532467532
6805,20.4,221.541519,108.622547,0,472,151,59,82,93,7,0.319915254,1.841060119,8
6810,24.6,271.152307,162.584379,1,556,154,83,92,89,24,0.276978417,1.935528321,6.80952381
6902,18.2,193.50752,78.117225,1,238,86,27,52,34,16,0.361344538,2.789900893,8.678571429
6903,18.3,226.004374,143.782686,0,413,125,57,86,62,20,0.302663438,2.479011828,7.189655172
6904,18,182.208046,94.842067,0,283,89,63,52,49,16,0.314487633,1.481907297,4.5
6905,20.4,177.502109,75.521529,0,250,98,52,57,38,13,0.392,1.452337096,4.807692308
6906,18.9,205.549666,76.093861,0,247,80,57,70,29,17,0.32388664,1.334980018,4.333333333
6908,18.3,202.359869,108.623994,0,297,93,56,71,27,14,0.313131313,1.905684105,5.280701754
6910,24.6,149.552592,66.635394,0,188,77,37,36,27,7,0.409574468,1.753563,5.236842105
6911,19,263.989427,138.593116,0,480,141,108,94,71,15,0.29375,1.283269593,4.444444444
6912,18,559.011336,234.891961,6,909,177,158,178,147,39,0.194719472,1.477307931,5.761006289
6916,18.8,180.785213,124.302182,2,421,124,67,100,74,15,0.294536817,1.827973265,6.338235294
