word,1201,1205,1209
baby,5,7,3
babyname,5,5,3
car,3,8,2
come,2,2,1
elephant,1,1,1
good,1,3,1
langplayx,9,1,12
oh,3,7,4
okay,4,1,3
say,1,1,1
snowman,2,4,1
uh,1,1,2
yes,3,3,2
again,0,2,0
animal,2,0,0
another,1,3,0
ant,1,0,0
apart,0,2,0
awake,1,0,0
back,1,1,0
bad,1,0,0
bed,0,1,0
big,1,3,0
bit,1,0,0
bite,1,0,0
blocks,0,1,0
booboo,1,0,0
break,3,0,0
bug,3,0,0
build,0,6,0
bunny,1,0,0
chewing,0,1,0
clean,0,1,0
color,1,0,0
cool,1,0,0
couple,1,0,0
cow,0,0,3
daddy's,0,1,0
down,0,1,0
drink,2,0,0
drop,0,1,0
duck,0,2,0
eat,4,0,1
else,0,1,0
fall,0,1,0
fed,1,0,0
fell,1,0,0
flower,3,0,4
foreignx,0,0,1
forth,1,0,0
get,3,2,0
giraffe,0,0,3
girl,2,1,0
give,2,0,0
go,12,0,0
going,0,6,0
got,4,1,0
grasshopper,1,0,0
grip,1,0,0
hammer,1,0,0
head,1,0,0
heart,0,0,4
helmet,1,3,0
help,0,1,0
hey,2,0,0
hi,1,0,0
hold,2,0,1
honey,1,0,0
house,1,3,0
huh,0,5,0
itched,1,0,0
job,0,3,1
just,1,0,0
knocked,0,3,0
ladybug,1,0,0
last,0,1,0
let,1,1,0
like,3,1,0
look,7,4,0
make,0,1,0
man,1,0,0
mantis,0,1,0
means,1,0,0
minute,1,0,0
mmm,0,0,1
mommy,1,0,0
move,5,0,0
mwah,0,0,2
name,2,0,0
need,0,2,0
night,0,6,0
oops,0,0,9
pants,0,1,0
phone,1,0,0
play,7,0,2
praying,0,1,0
pretty,0,2,0
purse,2,0,0
put,1,7,0
rabbit,0,1,0
red,0,0,2
remember,1,1,0
round,0,0,11
saw,1,0,5
seeing,0,1,0
shirt,0,0,1
shoud,0,1,0
sideways,0,1,0
silly,0,1,0
snow,1,0,0
sock,1,0,0
som,0,1,0
something,1,0,0
speechx,1,0,9
spongebob,1,2,0
square,0,1,0
stablize,0,2,0
stay,2,0,0
stuff,1,0,0
supposed,1,0,0
take,0,1,0
tall,0,1,0
team,1,0,0
thing,0,2,0
think,0,1,0
thirsty,1,0,0
time,0,1,0
tires,0,1,0
top,0,3,0
touching,2,0,0
toy,2,0,0
truck,0,2,0
try,2,0,0
trying,0,1,0
turn,0,1,0
turtle,3,1,0
vocplayx,2,0,0
watch,0,1,0
way,0,2,0
well,1,0,0
went,1,0,0
wheel,0,0,2
why,4,1,0
work,3,0,0
yay,0,1,2
yellow,0,0,2
zoo,1,0,0
