subID,car,doll,rake,bug
1201,3,0,0,3
1202,8,0,3,0
1203,12,0,0,3
1204,5,0,0,0
1205,8,0,0,0
1206,0,0,2,0
1207,5,1,3,2
1208,5,0,4,6
1209,2,0,0,0
1210,3,0,0,0
1211,4,0,0,0
1212,10,2,0,5
1213,10,0,15,9
1214,5,0,1,3
1215,2,0,0,0
1216,2,0,0,0
1217,0,0,0,0
1218,19,0,0,1
1219,5,0,1,1
1220,5,0,0,3
1221,5,0,1,2
1222,0,0,0,0
1223,8,3,7,5
1224,4,1,0,0
1225,3,1,3,0
1226,18,0,7,3
1227,3,0,0,2
1228,5,0,0,4
1229,0,0,0,0
1230,12,0,0,0
1231,8,1,0,0
1232,5,0,0,1
1233,4,0,1,1
1234,10,3,1,8
1235,3,0,0,0
1236,5,0,0,0
1237,1,1,0,0
1238,0,0,0,0
1239,0,0,0,0
